shuffle_method,spearman_correlation
BEND,0.2561838856074172
BEND,0.31293930577543305
BEND,0.1795374567927755
BEND,0.0988974126035261
BEND,0.23071593188721998
BEND,0.24062027851904957
BEND,0.24547861497632645
BEND,0.1555569741196907
BEND,0.13518221852020496
BEND,0.305123563489007
BEND,0.19800556702867333
BEND,0.2118097942320715
BEND,0.44781338753818556
BEND,0.24338717499242776
BEND,0.4882161164835085
BEND,0.2323963493879302
BEND,0.4287615502285822
BEND,0.35772222775830237
BEND,0.09206353161096609
BEND,0.27518399648361025
BEND,0.3840335943411649
BEND,0.5718860693636038
BEND,0.4769368132353337
BEND,0.12418962323615182
BEND,0.6089744629764078
BEND,0.4523312043757248
BEND,0.16775283763046178
BEND,0.43338241946267153
BEND,0.24021082371918737
BEND,0.42008324448443374
max in-memory,0.5645238681537731
max in-memory,0.037730038790964794
max in-memory,0.2359596712236947
max in-memory,0.10409932985421484
max in-memory,0.33039921238526965
max in-memory,0.1931845572360597
max in-memory,0.11649001336042272
max in-memory,0.10105495414354587
max in-memory,0.2779947952319009
max in-memory,0.15428456402893342
max in-memory,0.07376442529547496
max in-memory,0.26315540487692396
max in-memory,0.38437699648390256
max in-memory,0.13665007626381692
max in-memory,0.12632540677317353
max in-memory,0.35582748646959284
max in-memory,0.2746269872460019
max in-memory,0.30832547458738757
max in-memory,0.24820886021496394
max in-memory,0.038204235010684394
max in-memory,0.022646254136916653
max in-memory,0.5670596901091732
max in-memory,0.18151086824220122
max in-memory,0.1623163615446874
max in-memory,0.18354999961094626
max in-memory,0.1416377631018901
max in-memory,0.4094823277467004
max in-memory,0.05206981717854174
max in-memory,0.3145143880068991
max in-memory,0.2568080175927788
max multiprocessing,0.044038430012308345
max multiprocessing,0.044038459233648325
max multiprocessing,0.044038492638876034
max multiprocessing,0.04403846780686447
max multiprocessing,0.044038472266895425
max multiprocessing,0.044038450914028984
max multiprocessing,0.044038475525725235
max multiprocessing,0.04403845722609013
max multiprocessing,0.044038423051741805
max multiprocessing,0.04403845624869406
max multiprocessing,0.04403844301982018
max multiprocessing,0.04403845035993565
max multiprocessing,0.04403848018241315
max multiprocessing,0.04403846150345412
max multiprocessing,0.04403849428187075
max multiprocessing,0.04403846437200969
max multiprocessing,0.0440384646518698
max multiprocessing,0.04403847525853243
max multiprocessing,0.0440384768634014
max multiprocessing,0.044038494983489655
max multiprocessing,0.04403845202492095
max multiprocessing,0.0440384589624057
max multiprocessing,0.04403847113622321
max multiprocessing,0.04403847201505366
max multiprocessing,0.04403844863439003
max multiprocessing,0.044038455839607665
max multiprocessing,0.04403848665014959
max multiprocessing,0.04403847876514022
max multiprocessing,0.044038450377495666
max multiprocessing,0.04403848667009477
in-memory + multiprocessing,0.021774158664266487
in-memory + multiprocessing,0.021767521449309903
in-memory + multiprocessing,0.02164709453371153
in-memory + multiprocessing,0.02179222601239093
in-memory + multiprocessing,0.021742969356604257
in-memory + multiprocessing,0.021719526418323136
in-memory + multiprocessing,0.021730457305615822
in-memory + multiprocessing,0.021753361519012266
in-memory + multiprocessing,0.021751890135735086
in-memory + multiprocessing,0.021789137818784228
in-memory + multiprocessing,0.02173814455381638
in-memory + multiprocessing,0.021728210602046508
in-memory + multiprocessing,0.021798384719294586
in-memory + multiprocessing,0.021729597937830365
in-memory + multiprocessing,0.021730278263301078
in-memory + multiprocessing,0.021833276808994342
in-memory + multiprocessing,0.021742930710915598
in-memory + multiprocessing,0.021772827740910345
in-memory + multiprocessing,0.021782596589255902
in-memory + multiprocessing,0.021772819962966383
in-memory + multiprocessing,0.021752068920828815
in-memory + multiprocessing,0.021834586756753798
in-memory + multiprocessing,0.021794729916647656
in-memory + multiprocessing,0.021757246273792427
in-memory + multiprocessing,0.021766416941475825
in-memory + multiprocessing,0.021766133686844644
in-memory + multiprocessing,0.021834705415680552
in-memory + multiprocessing,0.021685931561988905
in-memory + multiprocessing,0.02169045251856979
in-memory + multiprocessing,0.021740902546504
